r,c,ndvi
45.0,8.0,0.655
45.0,9.0,0.598
45.0,10.0,0.657
45.0,11.0,0.685
45.0,12.0,0.71
45.0,13.0,0.689
45.0,14.0,0.619
45.0,15.0,0.579
45.0,16.0,0.441
45.0,17.0,0.568
45.0,18.0,0.533
45.0,19.0,0.484
45.0,20.0,0.397
45.0,21.0,0.339
45.0,22.0,0.376
45.0,23.0,0.48
45.0,24.0,0.551
45.0,25.0,0.29
45.0,26.0,0.536
45.0,27.0,0.503
45.0,28.0,0.477
45.0,29.0,0.334
45.0,30.0,0.434
45.0,31.0,0.416
45.0,32.0,0.276
45.0,33.0,0.327
45.0,34.0,0.28
45.0,35.0,0.317
45.0,36.0,0.511
45.0,37.0,0.355
45.0,38.0,0.396
45.0,39.0,0.37
45.0,40.0,0.324
45.0,41.0,0.421
45.0,42.0,0.322
45.0,43.0,0.447
45.0,44.0,0.418
45.0,45.0,0.591
45.0,46.0,0.591
45.0,47.0,0.562
45.0,48.0,0.636
45.0,49.0,0.58
45.0,50.0,0.628
45.0,51.0,0.623
45.0,52.0,0.652
45.0,53.0,0.325
45.0,54.0,0.58
45.0,55.0,0.551
45.0,56.0,0.352
45.0,57.0,0.498
45.0,58.0,0.556
45.0,59.0,0.624
46.0,0.0,0.539
46.0,1.0,0.717
46.0,2.0,0.663
46.0,3.0,0.647
46.0,4.0,0.674
46.0,5.0,0.556
46.0,6.0,0.547
46.0,7.0,0.563
46.0,8.0,0.506
46.0,9.0,0.689
46.0,10.0,0.753
46.0,11.0,0.693
46.0,12.0,0.689
46.0,13.0,0.783
46.0,14.0,0.748
46.0,15.0,0.772
46.0,16.0,0.768
46.0,17.0,0.554
46.0,18.0,0.427
46.0,19.0,0.442
46.0,20.0,0.461
46.0,21.0,0.278
46.0,22.0,0.292
46.0,23.0,0.394
46.0,24.0,0.561
46.0,25.0,0.461
46.0,26.0,0.467
46.0,27.0,0.455
46.0,28.0,0.459
46.0,29.0,0.362
46.0,30.0,0.353
46.0,31.0,0.453
46.0,32.0,0.295
46.0,33.0,0.697
46.0,34.0,0.346
46.0,35.0,0.327
46.0,36.0,0.457
46.0,37.0,0.539
46.0,38.0,0.52
46.0,39.0,0.296
46.0,40.0,0.452
46.0,41.0,0.374
46.0,42.0,0.657
46.0,43.0,0.451
46.0,44.0,0.501
46.0,45.0,0.627
46.0,46.0,0.675
46.0,47.0,0.561
46.0,48.0,0.552
46.0,49.0,0.527
46.0,50.0,0.584
46.0,51.0,0.64
46.0,52.0,0.579
46.0,53.0,0.327
46.0,54.0,0.55
46.0,55.0,0.283
46.0,56.0,0.477
46.0,57.0,0.497
46.0,58.0,0.577
46.0,59.0,0.394
47.0,0.0,0.578
47.0,1.0,0.651
47.0,2.0,0.723
47.0,3.0,0.701
47.0,4.0,0.69
47.0,5.0,0.615
47.0,6.0,0.576
47.0,7.0,0.505
47.0,8.0,0.432
47.0,9.0,0.431
47.0,10.0,0.514
47.0,11.0,0.737
47.0,12.0,0.732
47.0,13.0,0.666
47.0,14.0,0.708
47.0,15.0,0.689
47.0,16.0,0.768
47.0,17.0,0.632
47.0,18.0,0.741
47.0,19.0,0.491
47.0,20.0,0.438
47.0,21.0,0.361
47.0,22.0,0.418
47.0,23.0,0.331
47.0,24.0,0.452
47.0,25.0,0.483
47.0,26.0,0.462
47.0,27.0,0.485
47.0,28.0,0.463
47.0,29.0,0.522
47.0,30.0,0.358
47.0,31.0,0.318
47.0,32.0,0.301
47.0,33.0,0.386
47.0,34.0,0.359
47.0,35.0,0.331
47.0,36.0,0.3
47.0,37.0,0.406
47.0,38.0,0.527
47.0,39.0,0.458
47.0,40.0,0.502
47.0,41.0,0.43
47.0,42.0,0.423
47.0,43.0,0.506
47.0,44.0,0.577
47.0,45.0,0.583
47.0,46.0,0.533
47.0,47.0,0.471
47.0,48.0,0.57
47.0,49.0,0.531
47.0,50.0,0.559
47.0,51.0,0.645
47.0,52.0,0.565
47.0,53.0,0.63
47.0,54.0,0.458
47.0,55.0,0.632
47.0,56.0,0.436
47.0,57.0,0.508
47.0,58.0,0.362
47.0,59.0,0.492
48.0,0.0,0.623
48.0,1.0,0.678
48.0,2.0,0.679
48.0,3.0,0.718
48.0,4.0,0.7
48.0,5.0,0.599
48.0,6.0,0.702
48.0,7.0,0.489
48.0,8.0,0.667
48.0,9.0,0.626
48.0,10.0,0.668
48.0,11.0,0.626
48.0,12.0,0.696
48.0,13.0,0.69
48.0,14.0,0.668
48.0,15.0,0.605
48.0,16.0,0.537
48.0,17.0,0.543
48.0,18.0,0.518
48.0,19.0,0.519
48.0,20.0,0.627
48.0,21.0,0.369
48.0,22.0,0.513
48.0,23.0,0.598
48.0,24.0,0.567
48.0,25.0,0.455
48.0,26.0,0.567
48.0,27.0,0.605
48.0,28.0,0.701
48.0,29.0,0.442
48.0,30.0,0.251
48.0,31.0,0.354
48.0,32.0,0.521
48.0,33.0,0.362
48.0,34.0,0.562
48.0,35.0,0.411
48.0,36.0,0.335
48.0,37.0,0.364
48.0,38.0,0.506
48.0,39.0,0.554
48.0,40.0,0.495
48.0,41.0,0.479
48.0,42.0,0.601
48.0,43.0,0.543
48.0,44.0,0.537
48.0,45.0,0.509
48.0,46.0,0.563
48.0,47.0,0.423
48.0,48.0,0.52
48.0,49.0,0.493
48.0,50.0,0.536
48.0,51.0,0.544
48.0,52.0,0.61
48.0,53.0,0.611
48.0,54.0,0.538
48.0,55.0,0.674
48.0,56.0,0.672
48.0,57.0,0.589
48.0,58.0,0.585
48.0,59.0,0.637
49.0,0.0,0.612
49.0,1.0,0.711
49.0,2.0,0.716
49.0,3.0,0.659
49.0,4.0,0.749
49.0,5.0,0.694
49.0,6.0,0.706
49.0,7.0,0.455
49.0,8.0,0.717
49.0,9.0,0.617
49.0,10.0,0.58
49.0,11.0,0.73
49.0,12.0,0.605
49.0,13.0,0.615
49.0,14.0,0.587
49.0,15.0,0.537
49.0,16.0,0.503
49.0,17.0,0.622
49.0,18.0,0.459
49.0,19.0,0.465
49.0,20.0,0.393
49.0,21.0,0.306
49.0,22.0,0.605
49.0,23.0,0.598
49.0,24.0,0.683
49.0,25.0,0.713
49.0,26.0,0.6
49.0,27.0,0.531
49.0,28.0,0.589
49.0,29.0,0.548
49.0,30.0,0.494
49.0,31.0,0.503
49.0,32.0,0.416
49.0,33.0,0.415
49.0,34.0,0.422
49.0,35.0,0.471
49.0,36.0,0.302
49.0,37.0,0.314
49.0,38.0,0.31
49.0,39.0,0.577
49.0,40.0,0.725
49.0,41.0,0.634
49.0,42.0,0.672
49.0,43.0,0.532
49.0,44.0,0.596
49.0,45.0,0.438
49.0,46.0,0.466
49.0,47.0,0.517
49.0,48.0,0.527
49.0,49.0,0.583
49.0,50.0,0.64
49.0,51.0,0.561
49.0,52.0,0.582
49.0,53.0,0.509
49.0,54.0,0.569
49.0,55.0,0.604
49.0,56.0,0.646
49.0,57.0,0.576
49.0,58.0,0.575
49.0,59.0,0.667
50.0,0.0,0.714
50.0,1.0,0.711
50.0,2.0,0.7
50.0,3.0,0.751
50.0,4.0,0.734
50.0,5.0,0.676
50.0,6.0,0.732
50.0,7.0,0.627
50.0,8.0,0.641
50.0,9.0,0.634
50.0,10.0,0.614
50.0,11.0,0.608
50.0,12.0,0.63
50.0,13.0,0.669
50.0,14.0,0.668
50.0,15.0,0.708
50.0,16.0,0.586
50.0,17.0,0.502
50.0,18.0,0.644
50.0,19.0,0.405
50.0,20.0,0.415
50.0,21.0,0.591
50.0,22.0,0.625
50.0,23.0,0.583
50.0,24.0,0.654
50.0,25.0,0.614
50.0,26.0,0.498
50.0,27.0,0.593
50.0,28.0,0.734
50.0,29.0,0.736
50.0,30.0,0.542
50.0,31.0,0.626
50.0,32.0,0.515
50.0,33.0,0.563
50.0,34.0,0.511
50.0,35.0,0.507
50.0,36.0,0.406
50.0,37.0,0.38
50.0,38.0,0.35
50.0,39.0,0.382
50.0,40.0,0.461
50.0,41.0,0.539
50.0,42.0,0.584
50.0,43.0,0.429
50.0,44.0,0.484
50.0,45.0,0.532
50.0,46.0,0.338
50.0,47.0,0.454
50.0,48.0,0.51
50.0,49.0,0.653
50.0,50.0,0.582
50.0,51.0,0.568
50.0,52.0,0.625
50.0,53.0,0.516
50.0,54.0,0.626
50.0,55.0,0.473
50.0,56.0,0.705
50.0,57.0,0.703
50.0,58.0,0.649
50.0,59.0,0.582
51.0,0.0,0.67
51.0,1.0,0.727
51.0,2.0,0.684
51.0,3.0,0.725
51.0,4.0,0.73
51.0,5.0,0.709
51.0,6.0,0.582
51.0,7.0,0.719
51.0,8.0,0.67
51.0,9.0,0.459
51.0,10.0,0.624
51.0,11.0,0.599
51.0,12.0,0.677
51.0,13.0,0.718
51.0,14.0,0.722
51.0,15.0,0.723
51.0,16.0,0.564
51.0,17.0,0.718
51.0,18.0,0.54
51.0,19.0,0.38
51.0,20.0,0.681
51.0,21.0,0.725
51.0,22.0,0.649
51.0,23.0,0.684
51.0,24.0,0.625
51.0,25.0,0.631
51.0,26.0,0.635
51.0,27.0,0.614
51.0,28.0,0.577
51.0,29.0,0.71
51.0,30.0,0.65
51.0,31.0,0.554
51.0,32.0,0.666
51.0,33.0,0.516
51.0,34.0,0.601
51.0,35.0,0.487
51.0,36.0,0.433
51.0,37.0,0.595
51.0,38.0,0.595
51.0,39.0,0.682
51.0,40.0,0.487
51.0,41.0,0.611
51.0,42.0,0.558
51.0,43.0,0.491
51.0,44.0,0.42
51.0,45.0,0.463
51.0,46.0,0.502
51.0,47.0,0.361
51.0,48.0,0.552
51.0,49.0,0.602
51.0,50.0,0.643
51.0,51.0,0.616
51.0,52.0,0.544
51.0,53.0,0.586
51.0,54.0,0.606
51.0,55.0,0.556
51.0,56.0,0.664
51.0,57.0,0.664
51.0,58.0,0.526
51.0,59.0,0.575
52.0,0.0,0.723
52.0,1.0,0.745
52.0,2.0,0.672
52.0,3.0,0.703
52.0,4.0,0.698
52.0,5.0,0.704
52.0,6.0,0.653
52.0,7.0,0.641
52.0,8.0,0.544
52.0,9.0,0.67
52.0,10.0,0.566
52.0,11.0,0.544
52.0,12.0,0.56
52.0,13.0,0.605
52.0,14.0,0.625
52.0,15.0,0.62
52.0,16.0,0.72
52.0,17.0,0.702
52.0,18.0,0.602
52.0,19.0,0.649
52.0,20.0,0.578
52.0,21.0,0.563
52.0,22.0,0.695
52.0,23.0,0.679
52.0,24.0,0.729
52.0,25.0,0.661
52.0,26.0,0.641
52.0,27.0,0.523
52.0,28.0,0.67
52.0,29.0,0.693
52.0,30.0,0.516
52.0,31.0,0.592
52.0,32.0,0.695
52.0,33.0,0.553
52.0,34.0,0.496
52.0,35.0,0.469
52.0,36.0,0.595
52.0,37.0,0.538
52.0,38.0,0.406
52.0,39.0,0.603
52.0,40.0,0.493
52.0,41.0,0.507
52.0,42.0,0.546
52.0,43.0,0.533
52.0,44.0,0.438
52.0,45.0,0.458
52.0,46.0,0.432
52.0,47.0,0.547
52.0,48.0,0.482
52.0,49.0,0.456
52.0,50.0,0.456
52.0,51.0,0.615
52.0,52.0,0.575
52.0,53.0,0.651
52.0,54.0,0.612
52.0,55.0,0.39
52.0,56.0,0.638
52.0,57.0,0.58
52.0,58.0,0.625
52.0,59.0,0.64
53.0,0.0,0.682
53.0,1.0,0.713
53.0,2.0,0.615
53.0,3.0,0.722
53.0,4.0,0.722
53.0,5.0,0.612
53.0,6.0,0.643
53.0,7.0,0.552
53.0,8.0,0.56
53.0,9.0,0.701
53.0,10.0,0.519
53.0,11.0,0.688
53.0,12.0,0.518
53.0,13.0,0.596
53.0,14.0,0.619
53.0,15.0,0.704
53.0,16.0,0.683
53.0,17.0,0.621
53.0,18.0,0.729
53.0,19.0,0.534
53.0,20.0,0.56
53.0,21.0,0.647
53.0,22.0,0.634
53.0,23.0,0.661
53.0,24.0,0.707
53.0,25.0,0.616
53.0,26.0,0.614
53.0,27.0,0.606
53.0,28.0,0.6
53.0,29.0,0.7
53.0,30.0,0.672
53.0,31.0,0.584
53.0,32.0,0.545
53.0,33.0,0.702
53.0,34.0,0.612
53.0,35.0,0.583
53.0,36.0,0.757
53.0,37.0,0.654
53.0,38.0,0.682
53.0,39.0,0.606
53.0,40.0,0.46
53.0,41.0,0.647
53.0,42.0,0.575
53.0,43.0,0.519
53.0,44.0,0.517
53.0,45.0,0.602
53.0,46.0,0.394
53.0,47.0,0.499
53.0,48.0,0.644
53.0,49.0,0.643
53.0,50.0,0.5
53.0,51.0,0.641
53.0,52.0,0.581
53.0,53.0,0.556
53.0,54.0,0.67
53.0,55.0,0.586
53.0,56.0,0.571
53.0,57.0,0.535
53.0,58.0,0.694
53.0,59.0,0.609
54.0,0.0,0.696
54.0,1.0,0.678
54.0,2.0,0.699
54.0,3.0,0.658
54.0,4.0,0.681
54.0,5.0,0.634
54.0,6.0,0.672
54.0,7.0,0.57
54.0,8.0,0.536
54.0,9.0,0.703
54.0,10.0,0.67
54.0,11.0,0.68
54.0,12.0,0.66
54.0,13.0,0.655
54.0,14.0,0.359
54.0,15.0,0.608
54.0,16.0,0.699
54.0,17.0,0.572
54.0,18.0,0.682
54.0,19.0,0.731
54.0,20.0,0.719
54.0,21.0,0.651
54.0,22.0,0.665
54.0,23.0,0.613
54.0,24.0,0.614
54.0,25.0,0.652
54.0,26.0,0.637
54.0,27.0,0.71
54.0,28.0,0.697
54.0,29.0,0.627
54.0,30.0,0.699
54.0,31.0,0.68
54.0,32.0,0.684
54.0,33.0,0.715
54.0,34.0,0.453
54.0,35.0,0.683
54.0,36.0,0.721
54.0,37.0,0.422
54.0,38.0,0.708
54.0,39.0,0.592
54.0,40.0,0.579
54.0,41.0,0.558
54.0,42.0,0.525
54.0,43.0,0.526
54.0,44.0,0.594
54.0,45.0,0.6
54.0,46.0,0.487
54.0,47.0,0.573
54.0,48.0,0.656
54.0,49.0,0.605
54.0,50.0,0.576
54.0,51.0,0.596
54.0,52.0,0.52
54.0,53.0,0.56
54.0,54.0,0.627
54.0,55.0,0.666
54.0,56.0,0.634
54.0,57.0,0.614
54.0,58.0,0.661
54.0,59.0,0.692
55.0,0.0,0.716
55.0,1.0,0.709
55.0,2.0,0.617
55.0,3.0,0.593
55.0,4.0,0.534
55.0,5.0,0.626
55.0,6.0,0.68
55.0,7.0,0.622
55.0,8.0,0.663
55.0,9.0,0.675
55.0,10.0,0.685
55.0,11.0,0.619
55.0,12.0,0.576
55.0,13.0,0.628
55.0,14.0,0.718
55.0,15.0,0.702
55.0,16.0,0.635
55.0,17.0,0.498
55.0,18.0,0.573
55.0,19.0,0.654
55.0,20.0,0.661
55.0,21.0,0.705
55.0,22.0,0.575
55.0,23.0,0.653
55.0,24.0,0.635
55.0,25.0,0.682
55.0,26.0,0.782
55.0,27.0,0.61
55.0,28.0,0.608
55.0,29.0,0.6
55.0,30.0,0.689
55.0,31.0,0.541
55.0,32.0,0.649
55.0,33.0,0.699
55.0,34.0,0.52
55.0,35.0,0.665
55.0,36.0,0.648
55.0,37.0,0.716
55.0,38.0,0.675
55.0,39.0,0.572
55.0,40.0,0.576
55.0,41.0,0.548
55.0,42.0,0.482
55.0,43.0,0.508
55.0,44.0,0.64
55.0,45.0,0.552
55.0,46.0,0.479
55.0,47.0,0.458
55.0,48.0,0.661
55.0,49.0,0.657
55.0,50.0,0.578
55.0,51.0,0.63
55.0,52.0,0.568
55.0,53.0,0.513
55.0,54.0,0.656
55.0,55.0,0.636
55.0,56.0,0.464
55.0,57.0,0.63
55.0,58.0,0.614
55.0,59.0,0.604
56.0,0.0,0.752
56.0,1.0,0.677
56.0,2.0,0.612
56.0,3.0,0.557
56.0,4.0,0.698
56.0,5.0,0.67
56.0,6.0,0.601
56.0,7.0,0.698
56.0,8.0,0.582
56.0,9.0,0.636
56.0,10.0,0.726
56.0,11.0,0.48
56.0,12.0,0.59
56.0,13.0,0.643
56.0,14.0,0.679
56.0,15.0,0.323
56.0,16.0,0.62
56.0,17.0,0.737
56.0,18.0,0.668
56.0,19.0,0.673
56.0,20.0,0.677
56.0,21.0,0.698
56.0,22.0,0.562
56.0,23.0,0.652
56.0,24.0,0.565
56.0,25.0,0.621
56.0,26.0,0.615
56.0,27.0,0.638
56.0,28.0,0.573
56.0,29.0,0.663
56.0,30.0,0.611
56.0,31.0,0.516
56.0,32.0,0.592
56.0,33.0,0.676
56.0,34.0,0.568
56.0,35.0,0.53
56.0,36.0,0.681
56.0,37.0,0.728
56.0,38.0,0.587
56.0,39.0,0.595
56.0,40.0,0.692
56.0,41.0,0.582
56.0,42.0,0.496
56.0,43.0,0.551
56.0,44.0,0.517
56.0,45.0,0.495
56.0,46.0,0.432
56.0,47.0,0.495
56.0,48.0,0.571
56.0,49.0,0.669
56.0,50.0,0.569
56.0,51.0,0.721
56.0,52.0,0.564
56.0,53.0,0.608
56.0,54.0,0.564
56.0,55.0,0.515
56.0,56.0,0.575
56.0,57.0,0.584
56.0,58.0,0.601
56.0,59.0,0.569
57.0,0.0,0.598
57.0,1.0,0.645
57.0,2.0,0.648
57.0,3.0,0.652
57.0,4.0,0.596
57.0,5.0,0.424
57.0,6.0,0.71
57.0,7.0,0.681
57.0,8.0,0.71
57.0,9.0,0.569
57.0,10.0,0.686
57.0,11.0,0.714
57.0,12.0,0.704
57.0,13.0,0.573
57.0,14.0,0.655
57.0,15.0,0.627
57.0,16.0,0.437
57.0,17.0,0.558
57.0,18.0,0.636
57.0,19.0,0.671
57.0,20.0,0.705
57.0,21.0,0.525
57.0,22.0,0.597
57.0,23.0,0.63
57.0,24.0,0.599
57.0,25.0,0.607
57.0,26.0,0.607
57.0,27.0,0.462
57.0,28.0,0.562
57.0,29.0,0.635
57.0,30.0,0.584
57.0,31.0,0.608
57.0,32.0,0.611
57.0,33.0,0.528
57.0,34.0,0.506
57.0,35.0,0.696
57.0,36.0,0.409
57.0,37.0,0.719
57.0,38.0,0.634
57.0,39.0,0.738
57.0,40.0,0.537
57.0,41.0,0.688
57.0,42.0,0.619
57.0,43.0,0.558
57.0,44.0,0.608
57.0,45.0,0.592
57.0,46.0,0.516
57.0,47.0,0.525
57.0,48.0,0.474
57.0,49.0,0.553
57.0,50.0,0.64
57.0,51.0,0.707
57.0,52.0,0.684
57.0,53.0,0.595
57.0,54.0,0.518
57.0,55.0,0.638
57.0,56.0,0.467
57.0,57.0,0.692
57.0,58.0,0.552
57.0,59.0,0.577
58.0,0.0,0.707
58.0,1.0,0.604
58.0,2.0,0.595
58.0,3.0,0.687
58.0,4.0,0.675
58.0,5.0,0.708
58.0,6.0,0.663
58.0,7.0,0.728
58.0,8.0,0.655
58.0,9.0,0.689
58.0,10.0,0.693
58.0,11.0,0.698
58.0,12.0,0.74
58.0,13.0,0.696
58.0,14.0,0.518
58.0,15.0,0.548
58.0,16.0,0.661
58.0,17.0,0.671
58.0,18.0,0.695
58.0,19.0,0.569
58.0,20.0,0.695
58.0,21.0,0.664
58.0,22.0,0.597
58.0,23.0,0.579
58.0,24.0,0.657
58.0,25.0,0.566
58.0,26.0,0.637
58.0,27.0,0.628
58.0,28.0,0.507
58.0,29.0,0.586
58.0,30.0,0.609
58.0,31.0,0.618
58.0,32.0,0.566
58.0,33.0,0.548
58.0,34.0,0.65
58.0,35.0,0.535
58.0,36.0,0.559
58.0,37.0,0.661
58.0,38.0,0.631
58.0,39.0,0.624
58.0,40.0,0.572
58.0,41.0,0.591
58.0,42.0,0.333
58.0,43.0,0.575
58.0,44.0,0.528
58.0,45.0,0.486
58.0,46.0,0.635
58.0,47.0,0.536
58.0,48.0,0.544
58.0,49.0,0.602
58.0,50.0,0.762
58.0,51.0,0.621
58.0,52.0,0.333
58.0,53.0,0.664
58.0,54.0,0.713
58.0,55.0,0.652
58.0,56.0,0.68
58.0,57.0,0.411
58.0,58.0,0.645
58.0,59.0,0.718
59.0,0.0,0.646
59.0,1.0,0.68
59.0,2.0,0.576
59.0,3.0,0.668
59.0,4.0,0.526
59.0,5.0,0.702
59.0,6.0,0.628
59.0,7.0,0.663
59.0,8.0,0.683
59.0,9.0,0.709
59.0,10.0,0.743
59.0,11.0,0.755
59.0,12.0,0.758
59.0,13.0,0.762
59.0,14.0,0.674
59.0,15.0,0.705
59.0,16.0,0.54
59.0,17.0,0.72
59.0,18.0,0.692
59.0,19.0,0.704
59.0,20.0,0.683
59.0,21.0,0.668
59.0,22.0,0.656
59.0,23.0,0.654
59.0,24.0,0.569
59.0,25.0,0.608
59.0,26.0,0.648
59.0,27.0,0.557
59.0,28.0,0.563
59.0,29.0,0.505
59.0,30.0,0.666
59.0,31.0,0.592
59.0,32.0,0.686
59.0,33.0,0.556
59.0,34.0,0.643
59.0,35.0,0.663
59.0,36.0,0.65
59.0,37.0,0.704
59.0,38.0,0.702
59.0,39.0,0.693
59.0,40.0,0.624
59.0,41.0,0.73
59.0,42.0,0.573
59.0,43.0,0.666
59.0,44.0,0.565
59.0,45.0,0.633
59.0,46.0,0.263
59.0,47.0,0.515
59.0,48.0,0.778
59.0,49.0,0.694
59.0,50.0,0.71
59.0,51.0,0.605
59.0,52.0,0.679
59.0,53.0,0.639
59.0,54.0,0.655
59.0,55.0,0.554
59.0,56.0,0.563
59.0,57.0,0.41
59.0,58.0,0.547
59.0,59.0,0.467
